trading_day,pnl_r,is_is,is_oos,year,feature_fire,prev_day_low,orb_mid,break_dir
2019-05-14,0.8806,True,False,2019,0,7286.0,7373.875,long
2019-05-15,-1.0,True,False,2019,0,7304.75,7416.125,long
2019-05-16,0.714,True,False,2019,0,7353.75,7578.0,long
2019-05-20,0.8806,True,False,2019,1,7512.25,7388.875,long
2019-05-22,-1.0,True,False,2019,0,7400.75,7447.875,long
2019-05-29,0.8015,True,False,2019,1,7280.75,7225.0,long
2019-06-03,-1.0,True,False,2019,1,7076.75,7046.0,long
2019-06-06,-1.0,True,False,2019,0,7150.0,7217.375,long
2019-06-07,-1.0,True,False,2019,0,7196.0,7377.125,long
2019-06-10,0.7452,True,False,2019,0,7459.25,7510.375,long
2019-06-14,0.7395,True,False,2019,0,7421.5,7464.0,long
2019-06-17,-1.0,True,False,2019,0,7508.0,7563.75,long
2019-06-18,-1.0,True,False,2019,0,7509.5,7701.375,long
2019-06-21,0.8141,True,False,2019,0,7706.5,7757.25,long
2019-06-24,0.787,True,False,2019,0,7716.75,7756.25,long
2019-06-27,-1.0,True,False,2019,0,7616.0,7691.625,long
2019-06-28,0.714,True,False,2019,0,7643.75,7668.5,long
2019-07-03,0.6993,True,False,2019,0,7762.75,7845.75,long
2019-07-05,0.7395,True,False,2019,1,7881.75,7810.25,long
2019-07-08,0.6993,True,False,2019,1,7851.25,7782.5,long
2019-07-09,0.8226,True,False,2019,0,7777.75,7804.625,long
2019-07-12,-1.0,True,False,2019,0,7894.25,7941.875,long
2019-07-17,-1.0,True,False,2019,0,7924.0,7957.75,long
2019-07-18,0.7506,True,False,2019,0,7868.0,7885.0,long
2019-07-24,0.6213,True,False,2019,0,7908.25,7967.25,long
2019-07-25,-1.0,True,False,2019,0,7925.75,7963.0,long
2019-07-30,-1.0,True,False,2019,0,7951.5,7966.0,long
2019-07-31,0.6548,True,False,2019,0,7928.25,7979.375,long
2019-08-01,0.7981,True,False,2019,0,7782.0,7933.125,long
2019-08-07,0.9017,True,False,2019,0,7225.0,7434.0,long
2019-08-08,0.7657,True,False,2019,0,7387.75,7622.375,long
2019-08-09,-1.0,True,False,2019,0,7526.25,7675.625,long
2019-08-20,0.7395,True,False,2019,0,7636.75,7692.0,long
